date,countnum
2016-01-01,6440
2016-01-02,5889
2016-01-03,5685
2016-01-04,6074
2016-01-05,6425
2016-01-06,6628
2016-01-07,6869
2016-01-08,7342
2016-01-09,7710
2016-01-10,6722
2016-01-11,6578
2016-01-12,7003
2016-01-13,7554
2016-01-14,7434
2016-01-15,7662
2016-01-16,7957
2016-01-17,7153
2016-01-18,6499
2016-01-19,7129
2016-01-20,7206
2016-01-21,7517
2016-01-22,7920
2016-01-23,1478
2016-01-24,3053
2016-01-25,5494
2016-01-26,6286
2016-01-27,6891
2016-01-28,7274
2016-01-29,7871
2016-01-30,8284
2016-01-31,6922
2016-02-01,6376
2016-02-02,6920
2016-02-03,6991
2016-02-04,7539
2016-02-05,7663
2016-02-06,8007
2016-02-07,7031
2016-02-08,6376
2016-02-09,6889
2016-02-10,7487
2016-02-11,8180
2016-02-12,8208
2016-02-13,8390
2016-02-14,7684
2016-02-15,6661
2016-02-16,6916
2016-02-17,7315
2016-02-18,7695
2016-02-19,7943
2016-02-20,7967
2016-02-21,6930
2016-02-22,6514
2016-02-23,7371
2016-02-24,7565
2016-02-25,7720
2016-02-26,8102
2016-02-27,8302
2016-02-28,6979
2016-02-29,6719
2016-03-01,7049
2016-03-02,7737
2016-03-03,7965
2016-03-04,8316
2016-03-05,8652
2016-03-06,7349
2016-03-07,6668
2016-03-08,7050
2016-03-09,7275
2016-03-10,7706
2016-03-11,8012
2016-03-12,8334
2016-03-13,6969
2016-03-14,7325
2016-03-15,7205
2016-03-16,7533
2016-03-17,7390
2016-03-18,8212
2016-03-19,8196
2016-03-20,7356
2016-03-21,6514
2016-03-22,6890
2016-03-23,7029
2016-03-24,7674
2016-03-25,7496
2016-03-26,7698
2016-03-27,6620
2016-03-28,6482
2016-03-29,7139
2016-03-30,7241
2016-03-31,7361
2016-04-01,7773
2016-04-02,8410
2016-04-03,7241
2016-04-04,7055
2016-04-05,7533
2016-04-06,7609
2016-04-07,7787
2016-04-08,8267
2016-04-09,8772
2016-04-10,7475
2016-04-11,6779
2016-04-12,7508
2016-04-13,7477
2016-04-14,7956
2016-04-15,8312
2016-04-16,8643
2016-04-17,7437
2016-04-18,6736
2016-04-19,7241
2016-04-20,7487
2016-04-21,7304
2016-04-22,7261
2016-04-23,7490
2016-04-24,6737
2016-04-25,6349
2016-04-26,7088
2016-04-27,7196
2016-04-28,7712
2016-04-29,7865
2016-04-30,7869
2016-05-01,7192
2016-05-02,6650
2016-05-03,7627
2016-05-04,7648
2016-05-05,8018
2016-05-06,8270
2016-05-07,8338
2016-05-08,7035
2016-05-09,6454
2016-05-10,7040
2016-05-11,7154
2016-05-12,7670
2016-05-13,7622
2016-05-14,8244
2016-05-15,7690
2016-05-16,7310
2016-05-17,7436
2016-05-18,7139
2016-05-19,7619
2016-05-20,7879
2016-05-21,8217
2016-05-22,6938
2016-05-23,6598
2016-05-24,6996
2016-05-25,7343
2016-05-26,7262
2016-05-27,6794
2016-05-28,6275
2016-05-29,5727
2016-05-30,4990
2016-05-31,6391
2016-06-01,7138
2016-06-02,7516
2016-06-03,7563
2016-06-04,7967
2016-06-05,6886
2016-06-06,6682
2016-06-07,7076
2016-06-08,7252
2016-06-09,7477
2016-06-10,7523
2016-06-11,7352
2016-06-12,6386
2016-06-13,6392
2016-06-14,6841
2016-06-15,7154
2016-06-16,7693
2016-06-17,7354
2016-06-18,6879
2016-06-19,6230
2016-06-20,6202
2016-06-21,7002
2016-06-22,7023
2016-06-23,7266
2016-06-24,7396
2016-06-25,7331
2016-06-26,6399
2016-06-27,6524
2016-06-28,6522
2016-06-29,6892
2016-06-30,6837
